id,name,parent_id,color,label_tree_id,source_id
376400,"Organism tests",376201,f61ee7,2564,
376402,Other,376187,9028e7,2564,
376403,"Other anemones",376509,50f302,2564,
376404,"Other polychaetes",376422,dc63e7,2564,
376406,"Ovoid pinnate",376518,840eec,2564,
376407,"Paired burrow",376285,c5ee6c,2564,
376408,Palmate,376298,f959ff,2564,
376409,parborlasia_aggr,376386,5ddcfe,2564,
376410,parborlasia_corrugatus,376386,5ddcfe,2564,
376411,"Pebble (10-64mm)",376412,3df890,2564,
376412,pebble_gravel,376516,e5b663,2564,
376413,"Pelagic / swimming",376344,f66f90,2564,
376414,Penisworms,376536,3042f7,2564,
376415,"Perforated trail",376264,57eb80,2564,
376416,"Petal rosette",376302,9bfc7b,2564,
376417,Physical,,ffffff,2564,
376418,"Pincushion rosette",376302,5749e6,2564,
376419,pink_encr_algae,376233,f047d0,2564,
376420,pink_star_msp1,376185,ff00f7,2564,
376421,Pogostick,376518,c672fa,2564,
376422,Polychaetes,376536,0a8ce8,2564,
376423,"Porcelain crabs",376261,46baf9,2564,
376424,"Prawns / shrimps / mysids",376269,38efac,2564,
376425,Pyrosomes,376351,43b3f5,2564,
376426,"Quill (seapen)",376203,6573f1,2564,
376427,"Rayed mound",376302,5efb97,2564,
376428,"Rays & skates",376289,39b4fd,2564,
376429,Red,376460,f748ca,2564,
376430,Red,376354,f748ca,2564,
376431,Red,376322,f748ca,2564,
376432,Red,376306,d839d4,2564,
376433,Red,376300,f748ca,2564,
376434,Red,376178,f748ca,2564,
376435,Red,376299,f849ca,2564,
376436,Red,376295,f047d0,2564,
376438,red_or_brown_sheet_algae,376460,e558c1,2564,
376439,red_sheet_msp1,376429,f74a4a,2564,
376440,red_sheet_msp2,376429,f74a4a,2564,
376441,"Regular urchins",376524,fead15,2564,
376442,Relief,376417,6cbff7,2564,
376443,"Resting traces",376201,f6de45,2564,
376444,Rhodoliths,376198,f75332,2564,
376445,Rigid,376301,5dfd69,2564,
376446,"Ripples (<10cm height)",376172,0776f6,2564,
376447,"Ripples (<10cm height)",376173,69a7fc,2564,
376448,Rock,376252,000000,2564,
376449,"Rock lobsters",376364,619cee,2564,
376450,"Round casts",376528,41d1f8,2564,
376451,"Round pinnate",376518,ed3c54,2564,
376452,"Rounded crater ring",376285,6d7ded,2564,
376453,Salps,376351,45e9ea,2564,
376454,sand_or_mud_max2mm,376516,dce86f,2564,
376455,Screwshells,376198,e3fd77,2564,
376456,Scyphozoa,376351,ec0dc0,2564,
376457,"Sea spiders",376199,4255ed,2564,
376458,Seagrasses,376199,fc4d0a,2564,
376459,Sharks,376289,f56a18,2564,
376460,"Sheet-like / membraneous",376368,e558c1,2564,
376461,Simple,376206,ee160b,2564,
376462,Simple,376305,f165cd,2564,
376463,Simple,376372,bbf61a,2564,
376464,Simple,376298,5ce6cf,2564,
376465,"Single burrow",376285,d6e763,2564,
376466,Siphonophores,376351,8fe60e,2564,
376467,Sipuncula,376536,edb374,2564,
376468,Skeleton,376441,ffffff,2564,
376469,skinny_white_star_msp12,376185,ffffff,2564,
376470,skinny_yellow_star_msp10,376185,f9f234,2564,
376471,"Slipper lobsters / bugs",376364,e66021,2564,
376472,"Small mound",376285,c8f85d,2564,
376473,"Small rosette",376302,4b5deb,2564,
376474,small_pink_worm_msp1,376536,fd9eff,2564,
376475,small_white_worm_msp2,376536,ffffff,2564,
376476,small_yellow_star_msp6,376185,fff94d,2564,
376477,Soft,376229,56ee16,2564,
376478,Solitary,376519,776def,2564,
376479,Solitary,376491,84f762,2564,
376480,Solitary,376495,9642fb,2564,
376481,Spider,376518,68dde8,2564,
376482,"Spiked crater ring",376285,d45bf4,2564,
376483,spiky_ball_sponge_msp6,376188,1430ec,2564,
376484,Spirals,376528,f3ce56,2564,
376485,Sponges,376199,4cf739,2564,
376486,"Spotted mound",376285,7196e8,2564,
376487,"Squat lobsters",376364,32e7f1,2564,
376488,Squid,376235,06a7e6,2564,
376489,Staghorn,376495,bc6cee,2564,
376490,Stalked,376191,ede15f,2564,
376491,Stalked,376184,e5f54a,2564,
376492,Stalked,376298,73ff96,2564,
376493,"Stalked crinoids",376267,e7e61b,2564,
376494,Star_impression,376443,4067eb,2564,
376495,"Stony corals",376256,ef862c,2564,
376496,"Strap-like leaves",376458,e851dd,2564,
376497,Sub-massive,376495,3460f1,2564,
376498,"Submassive / encrusting",376345,7110fb,2564,
376499,Substrate,376417,b4a2af,2564,
376500,sun_star_msp2,376185,fdb98b,2564,
376501,Switchbacks,376528,5dcefe,2564,
376502,"Tables / discs",376275,ff524d,2564,
376503,Tabulate,376495,eb58a6,2564,
