,anemone,banana_star_msp7,beige_bivalve_msp1,big_spotted_star_msp14,bivalve,blue_holoth_msp1,branching_red_algae_msp1,branching_red_algae_msp2,brittle_msp1,brown_star_msp9,Bryozoa,carrot_star_msp4,chunky_orange_star_msp16,chunky_star_msp11,desmarestia_msp1,desmarestia_msp2,echiura_msp1,edwardsiella_msp4,encrusting_algae,encrusting_sponge,erect_sponge,filamentous_filiform_algae,filamentous_green_algae,fine_orange_msp4,finger_sponge_msp1,fish,glitter_star_msp3,glypt_ant,green_encr_algae,green_sheet_algae_msp1,himantothallus_msp1,laminate_brown,large_yellow_msp3,laternula,light_brown_star_msp15,macroalgae,medium_yellow_star_msp13,mollusc,nacella,nudibranch,orange_anemone_msp1,orange_blob_msp5,orange_holoth_msp4,pale_yellow_ascidian_msp5,parborlasia_corrugatus,pink_encr_algae_msp1,pink_star_msp1,pycnogonid_msp1,red_brown_ascidian_msp4,red_or_brown_sheet_algae_msp0,red_sheet_msp1,skinny_white_star_msp12,skinny_yellow_star_msp10,small_pink_worm_msp1,small_white_worm_msp2,small_yellow_star_msp6,spiky_massive_msp9,spiky_yellow_msp7,sponges,starfish,sun_star_msp2,terebellidae,translucent_blob,urchin_msp1,wavy_msp3,white_amphipod_msp1,white_anemone_msp3,white_ascidian_msp3,white_bunny_msp1,white_holoth_msp2,white_massive_msp10,white_porcupine_msp2,white_snail,white_star_msp8,worm,yellow_anemone_msp2,yellow_ascidian_msp2,yellow_blob_msp2,yellow_brown_ascidian_msp1,yellow_finger_msp8,yellow_star_msp5
TANGO2_ROV13_4_008.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.24498184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.648468992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_039.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_046.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.014675479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4.770058016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_048.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734500527,7,0,1,0,1.677246779,1,0,0,0,0,0,0,0.380061663,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_059.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_063.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.05106929,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_4_068.png,0,1,0,0,0,0,3.71037925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12904455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464780572,58,0,0,0,0,0,0,0,0,0,0,1.058879895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
TANGO2_ROV13_5_005.png,0,1,0,1,0,0,0,1.55324408,0,0,0,0,0,0,0,0,0,0,0,0,0,57.49783716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.11149032,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_6_028.png,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25.86631768,0,0,0,0,0,0,0,0.053309762,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.705181408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV13_6_032.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97850963,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
